Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por Comunidades Autónomas
Total sectores. Gastos internos totales y personal en I+D por  comunidades autónomas y tipo de indicador.
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en I+D en EJC: Total personal;Personal en I+D en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en I+D en EJC: Mujeres;
Total;13.391.607;100,0;208.831,4;83.681,8;126.777,5;48.771,0;
Andalucía;1.480.460;11,1;24.647,2;9.928,1;14.280,2;5.534,0;
Aragón;312.795;2,3;6.133,0;2.334,5;4.093,6;1.588,3;
Asturias, Principado de;195.892;1,5;3.426,0;1.353,6;2.270,9;893,2;
Balears, Illes;89.921;0,7;1.955,7;935,4;1.426,9;667,2;
Canarias;211.495;1,6;3.778,7;1.403,7;2.751,2;1.014,0;
Cantabria;126.166;0,9;2.018,8;791,2;1.196,6;456,5;
Castilla y León;617.467;4,6;9.546,9;3.824,4;5.975,4;2.468,4;
Castilla - La Mancha;230.547;1,7;3.170,0;1.141,0;1.740,1;639,4;
Cataluña;2.991.010;22,3;44.461,5;18.601,5;25.520,4;10.027,9;
Comunitat Valenciana;1.008.041;7,5;18.889,4;7.892,0;11.652,9;4.548,9;
Extremadura;128.432;1,0;2.126,4;843,2;1.264,8;497,5;
Galicia;487.840;3,6;9.509,4;3.968,1;5.443,4;2.207,5;
Madrid, Comunidad de;3.433.677;25,6;48.772,6;19.552,3;29.402,0;10.959,9;
Murcia, Región de;227.759;1,7;5.459,1;2.233,9;3.850,5;1.535,0;
Navarra, Comunidad Foral de;346.690;2,6;4.821,9;1.803,3;3.172,6;1.211,0;
País Vasco;1.431.108;10,7;18.591,0;6.452,9;11.801,4;4.135,4;
Rioja, La;69.297;0,5;1.469,3;582,5;900,4;374,3;
Ceuta;1.132;0,0;19,2;14,0;12,0;4,2;
Melilla;1.876;0,0;35,0;26,2;22,4;8,4;
Notas:
1) EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
