Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total sectores. Gastos internos totales y personal en I+D por comunidades autónomas y tipo de indicador. 
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en I+D en EJC: Total personal;Personal en I+D en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en I+D en EJC: Mujeres;
Total;13.171.807;100;200.865,8;81.297,2;122.437;47.728,6;
Andalucía;1.476.451;11,2;23.519,1;9.810,7;13.507;5.319,4;
Aragón;302.122;2,3;5.384,7;2.126;3.556,3;1.417,5;
Asturias, Principado de;158.604;1,2;2.999,4;1.189,8;2.029;798,4;
Balears, Illes;89.138;0,7;1.801,3;767,1;1.346,6;590,2;
Canarias;202.146;1,5;3.101;1.188,1;2.147,4;805,6;
Cantabria;103.326;0,8;1.782,5;779,2;1.098,5;471,4;
Castilla y León;536.189;4,1;8.880,6;3.634,2;5.916,8;2.408,2;
Castilla - La Mancha;203.112;1,5;2.838,1;1.134,5;1.463,3;596,9;
Cataluña;3.106.752;23,6;44.826,2;18.861;26.402,5;10.476,6;
Comunitat Valenciana;1.013.400;7,7;18.005,7;7.234,3;10.948,5;4.225;
Extremadura;116.584;0,9;1.977,7;748,1;1.299,1;512,3;
Galicia;496.560;3,8;9.037,6;3.792;5.368,3;2.153,9;
Madrid, Comunidad de;3.480.739;26,4;47.358,4;19.023,9;28.202;10.786,4;
Murcia, Región de;244.164;1,9;5.641,3;2.329,1;3.705,3;1.462,9;
Navarra, Comunidad Foral de;299.573;2,3;4.565,2;1.723,5;3.086,5;1.144,7;
País Vasco;1.269.313;9,6;17.712;6.347,3;11.523,8;4.166;
Rioja, La;71.225;0,5;1.397,6;592,9;808,9;382,3;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
