Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total sectores. Gastos internos totales y personal en I+D por comunidades autónomas y tipo de indicador. 
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total;14.063.444;100;215.744,5;86.353,9;133.213,2;51.657,2;
Andalucía;1.422.969;10,1;24.442,3;9.885,7;13.919,1;5.431,7;
Aragón;312.953;2,2;5.745,7;2.272,6;3.891,3;1.598,9;
Asturias, Principado de;182.514;1,3;3.264;1.273,1;2.224,5;875,3;
Balears, Illes;113.533;0,8;2.203,9;969,4;1.666,1;778,2;
Canarias;220.468;1,6;3.360,2;1.327,9;2.324,4;898,5;
Cantabria;109.009;0,8;1.723,2;746,9;1.082,2;458,6;
Castilla y León;683.254;4,9;9.478,8;3.910,6;6.191,2;2.588,5;
Castilla - La Mancha;228.895;1,6;3.131,9;1.232,6;1.747,5;703,5;
Cataluña;3.275.799;23,3;48.552,4;20.385,1;28.921,7;11.404,8;
Comunitat Valenciana;1.081.870;7,7;19.128,9;7.681;11.825,1;4.569,6;
Extremadura;114.117;0,8;2.041,1;782,4;1.340,9;509,8;
Galicia;571.657;4,1;10.265,6;4.104,8;6.127,5;2.413,8;
Madrid, Comunidad de;3.694.649;26,3;51.634,2;20.299,9;31.673,5;11.852,3;
Murcia, Región de;280.418;2;5.993,3;2.304,2;3.898,7;1.470,9;
Navarra, Comunidad Foral de;343.065;2,4;4.831,2;1.864,4;3.050,7;1.178,1;
País Vasco;1.351.332;9,6;18.481;6.721,3;12.460,2;4.527,4;
Rioja, La;74.319;0,5;1.403,7;564;805,5;369,1;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
'..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
