Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total Sectores. Gasto y personal en I+D interna por comunidades autónomas y tipo de indicador
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total;14.945.692;100;225.696,4;90.365,9;140.120,1;54.357,5;
Andalucía;1.479.417;9,9;24.731,9;10.047,2;14.347,4;5.634,8;
Aragón;339.741;2,3;6.124,4;2.406,7;4.049,1;1.650,2;
Asturias, Principado de;188.453;1,3;3.331,1;1.443,3;2.299,7;1.031,7;
Balears, Illes;128.558;0,9;2.685,4;1.124,2;1.902,4;849,1;
Canarias;214.965;1,4;3.605,7;1.481,2;2.487,4;1.013,4;
Cantabria;117.858;0,8;1.847,4;769;1.183,9;494;
Castilla y León;762.659;5,1;9.975,9;4.124,4;6.435,9;2.695,7;
Castilla - La Mancha;219.039;1,5;3.166,3;1.238,8;1.641,9;644,5;
Cataluña;3.512.716;23,5;51.830,4;20.976,6;30.391;11.618,7;
Comunitat Valenciana;1.174.248;7,9;19.305,9;7.869,5;12.158,9;4.770,5;
Extremadura;121.950;0,8;2.191,9;884,9;1.427,3;579,9;
Galicia;590.727;4;10.630,6;4.343,4;6.529,9;2.639,5;
Madrid, Comunidad de;3.922.792;26,2;54.221,7;21.587,7;34.016;12.788,1;
Murcia, Región de;303.097;2;6.148,6;2.443,4;4.051,8;1.566,7;
Navarra, Comunidad Foral de;344.439;2,3;4.941,6;1.933,3;3.077,3;1.211,3;
País Vasco;1.451.319;9,7;19.570,7;7.080,1;13.201,4;4.724,6;
Rioja, La;69.507;0,5;1.285,5;562,8;817,7;395,4;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
'..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
