Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total Sectores. Gasto y personal en I+D interna por comunidades autónomas y tipo de indicador
Unidades: especificadas en las variables

;Gasto en I+D interna (miles de euros);Gasto en I+D interna (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total Nacional;15.572.052;100;231.413,3;94.002,5;143.973,9;57.380,3;
Andalucía;1.538.408;9,9;24.870,1;10.302,6;14.522,6;5.767,7;
Aragón;358.602;2,3;6.268,5;2.425,6;4.165,3;1.687,2;
Asturias, Principado de;195.601;1,3;3.712,9;1.434,8;2.632,9;1.019,1;
Balears, Illes;134.242;0,9;2.793,4;1.214,9;1.965,7;914,3;
Canarias;219.872;1,4;3.572;1.416;2.573,5;1.008,6;
Cantabria;119.008;0,8;1.878,4;788,8;1.239;518,1;
Castilla y León;800.924;5,1;10.598,7;4.514;6.646,5;2.892,9;
Castilla - La Mancha;253.003;1,6;3.369,1;1.293,4;1.746,4;682;
Cataluña;3.596.646;23,1;52.137,3;21.229,6;30.331,2;11.857,5;
Comunitat Valenciana;1.264.029;8,1;20.672,5;8.431,3;13.047,7;5.155,2;
Extremadura;139.320;0,9;2.571,4;1.018,1;1.878,1;728,3;
Galicia;627.329;4;11.085,2;4.567;6.724;2.739,7;
Madrid, Comunidad de;4.100.551;26,3;55.545,2;23.088,5;35.049,9;14.267,1;
Murcia, Región de;323.429;2,1;6.319,7;2.499,6;4.217,5;1.647,7;
Navarra, Comunidad Foral de;355.779;2,3;4.981,6;2.017,4;3.024,3;1.250,9;
País Vasco;1.474.109;9,5;19.675,3;7.167,4;13.309,6;4.818,1;
Rioja, La;67.745;0,4;1.260,7;544,9;798,2;377,3;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
1) '..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada  completa
Fuente: Instituto Nacional de Estadística
