Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por Comunidades Autónomas
Total sectores. Gastos internos totales y personal en I+D por  comunidades autónomas y tipo de indicador.
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en I+D en EJC: Total personal;Personal en I+D en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en I+D en EJC: Mujeres;
Total;13.011.798;100,0;203.302,0;81.661,2;123.224,7;47.759,8;
Andalucía;1.471.261;11,3;24.139,1;9.708,1;13.868,1;5.310,8;
Aragón;298.081;2,3;5.534,0;2.140,8;3.699,0;1.490,8;
Asturias, Principado de;183.717;1,4;3.372,0;1.315,1;2.235,0;868,1;
Balears, Illes;86.982;0,7;1.848,2;827,4;1.390,9;631,5;
Canarias;203.078;1,6;3.480,8;1.294,2;2.543,2;954,3;
Cantabria;110.047;0,8;1.780,2;688,7;1.070,7;412,1;
Castilla y León;531.000;4,1;8.862,3;3.608,2;5.809,2;2.378,2;
Castilla - La Mancha;201.453;1,5;2.776,9;994,3;1.430,3;516,9;
Cataluña;2.960.612;22,8;44.506,2;18.805,5;25.503,4;10.095,8;
Comunitat Valenciana;998.399;7,7;18.527,7;7.600,4;11.174,2;4.342,5;
Extremadura;129.629;1,0;2.119,7;832,4;1.293,6;524,0;
Galicia;468.701;3,6;9.385,5;3.886,0;5.396,8;2.210,8;
Madrid, Comunidad de;3.434.613;26,4;47.609,4;19.208,2;28.631,2;10.944,0;
Murcia, Región de;224.761;1,7;5.290,2;2.151,0;3.710,6;1.459,1;
Navarra, Comunidad Foral de;317.158;2,4;4.625,2;1.714,0;2.993,5;1.109,9;
País Vasco;1.328.297;10,2;18.072,1;6.338,0;11.635,0;4.141,6;
Rioja, La;61.270;0,5;1.327,0;528,7;798,7;350,1;
Ceuta;991;0,0;14,8;6,2;14,2;6,2;
Melilla;1.749;0,0;30,9;13,8;27,1;13,3;
Notas:
1) EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
