Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total sectores. Gastos internos totales y personal en I+D por comunidades autónomas y tipo de indicador. 
Unidades: especificadas en las variables

;Gastos internos (miles de euros);Gastos internos (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total;13.259.769;100;205.872,9;83.112,6;126.633,4;49.541,2;
Andalucía;1.359.795;10,3;23.121,2;9.577,8;13.208,9;5.168;
Aragón;310.138;2,3;5.603,6;2.243,6;3.792,4;1.534,6;
Asturias, Principado de;161.352;1,2;3.127,3;1.254,3;2.077,2;808,1;
Balears, Illes;94.568;0,7;2.005,3;881,8;1.538,7;703,1;
Canarias;198.586;1,5;3.202,5;1.236,1;2.248;859;
Cantabria;105.921;0,8;1.836,2;785,2;1.124,1;470,7;
Castilla y León;606.603;4,6;8.873,5;3.784,6;5.836,6;2.527,2;
Castilla - La Mancha;216.222;1,6;3.149,7;1.218;1.703,3;659,8;
Cataluña;3.103.405;23,4;46.592,4;19.654,5;27.544,1;11.017,5;
Comunitat Valenciana;1.038.033;7,8;18.741,2;7.540;11.606;4.470,4;
Extremadura;106.042;0,8;1.885,8;714,6;1.255;472,8;
Galicia;503.888;3,8;9.366,9;3.806,3;5.782,5;2.211,5;
Madrid, Comunidad de;3.504.858;26,4;48.701,1;19.443,1;29.287,3;11.450,5;
Murcia, Región de;269.137;2;5.808,3;2.194,7;3.822,7;1.402,6;
Navarra, Comunidad Foral de;308.606;2,3;4.587,8;1.765,4;3.094,8;1.148,5;
País Vasco;1.302.828;9,8;17.831,4;6.411,6;11.747,9;4.195,6;
Rioja, La;67.336;0,5;1.383,7;579,2;909,2;419,3;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
'..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
