Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total Sectores. Gasto y personal en I+D interna por comunidades autónomas donde se realizaron actividades de I+D interna y tipo de indicador
Unidades: especificadas en las variables

;Gasto en I+D interna (miles de euros);Gasto en I+D interna (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total;15.768.133;100,0;231.769,1;94.385,9;145.371,5;58.004,0;
Andalucía;1.627.247;10,3;25.907,9;10.509,0;15.093,4;5.946,1;
Aragón;339.438;2,2;5.973,5;2.360,2;3.969,9;1.654,3;
Asturias, Principado de;193.658;1,2;3.374,8;1.285,2;2.333,0;914,1;
Balears, Illes;137.698;0,9;2.776,6;1.218,5;1.984,3;924,8;
Canarias;217.808;1,4;3.728,6;1.510,6;2.668,6;1.060,0;
Cantabria;120.120;0,8;1.959,7;796,0;1.305,1;539,1;
Castilla y León;758.475;4,8;10.554,1;4.530,3;6.869,3;3.002,0;
Castilla - La Mancha;261.065;1,7;3.505,6;1.364,0;1.811,5;718,4;
Cataluña;3.619.256;23,0;50.776,3;20.868,5;30.159,5;11.696,9;
Comunitat Valenciana;1.236.012;7,8;20.608,3;8.542,1;13.045,8;5.220,2;
Extremadura;125.337;0,8;2.647,0;1.032,6;1.863,5;707,9;
Galicia;641.680;4,1;10.774,0;4.424,4;6.919,6;2.748,9;
Madrid, Comunidad de;4.252.947;27,0;57.171,4;23.711,5;35.710,6;14.678,1;
Murcia, Región de;341.157;2,2;6.409,0;2.568,3;4.293,4;1.682,5;
Navarra, Comunidad Foral de;366.353;2,3;4.758,2;1.972,4;2.858,2;1.224,5;
País Vasco;1.461.517;9,3;19.517,0;7.094,7;13.627,3;4.862,4;
Rioja, La;64.412;0,4;1.202,9;533,8;785,7;384,7;
Ceuta;..;..;..;..;..;..;
Melilla;..;..;..;..;..;..;
Notas:
1) '..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
