Estadística sobre Actividades en I+D en el Sector Empresas
Resultados por comunidades autónomas
Total Sectores. Gasto y personal en I+D interna por comunidades autónomas donde se realizaron actividades de I+D interna y tipo de indicador. Resultados basados en Unidades Legales 
Unidades: especificadas en las variables

;Gasto en I+D interna (miles de euros);Gasto en I+D interna (%);Personal en EJC: Total personal;Personal en EJC: Mujeres;Investigadores en EJC: Total personal;Investigadores en EJC: Mujeres;
Total Nacional;17.249.249;100,0;249.647,8;101.030,8;154.146,8;61.274,2;
01 Andalucía;1.703.533;9,9;27.043,5;11.226,2;15.542,7;6.255,5;
02 Aragón;386.705;2,2;6.671,0;2.601,4;4.356,0;1.794,2;
03 Asturias, Principado de;204.172;1,2;3.384,4;1.284,2;2.391,4;907,9;
04 Balears, Illes;146.031;0,8;2.996,5;1.268,2;2.244,0;975,0;
05 Canarias;238.546;1,4;4.009,3;1.606,6;2.946,5;1.158,2;
06 Cantabria;133.156;0,8;2.159,3;846,5;1.382,1;528,6;
07 Castilla y León;795.797;4,6;11.120,3;4.609,7;7.223,4;3.030,3;
08 Castilla - La Mancha;339.418;2,0;3.860,6;1.481,9;1.975,2;783,3;
09 Cataluña;4.078.729;23,6;55.885,0;23.121,4;31.579,2;12.189,8;
10 Comunitat Valenciana;1.358.519;7,9;22.178,1;9.117,3;13.962,0;5.603,6;
11 Extremadura;149.074;0,9;2.766,2;1.104,8;1.867,6;733,0;
12 Galicia;697.484;4,0;11.435,0;4.685,7;7.461,9;2.971,9;
13 Madrid, Comunidad de;4.536.155;26,3;61.120,0;24.870,7;38.127,7;15.553,9;
14 Murcia, Región de;351.404;2,0;6.787,4;2.652,1;4.559,3;1.766,9;
15 Navarra, Comunidad Foral de;389.937;2,3;5.300,4;2.089,3;3.163,2;1.297,1;
16 País Vasco;1.666.316;9,7;21.503,8;7.829,0;14.431,1;5.265,9;
17 Rioja, La;65.065;0,4;1.307,8;579,5;841,7;418,6;
18 Ceuta;3.620;0,0;54,3;23,6;42,9;16,6;
19 Melilla;5.589;0,0;65,0;32,9;48,8;23,9;
Notas:
1) '..'=dato protegido por secreto estadístico 

 EJC: equivalencia a jornada completa
Fuente: Instituto Nacional de Estadística
