Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por comunidades autónomas
Población por comunidades y ciudades autónomas y tamaño de los municipios.
Unidades: Personas
;Total;;;;;;;;;;;
;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;
Total;47.385.107;47.450.795;47.026.208;46.722.980;46.572.132;46.557.008;46.624.382;46.771.341;47.129.783;47.265.321;47.190.493;
01 Andalucía;8.472.407;8.464.411;8.414.240;8.384.408;8.379.820;8.388.107;8.399.043;8.402.305;8.440.300;8.449.985;8.424.102;
02 Aragón;1.326.261;1.329.391;1.319.291;1.308.728;1.308.750;1.308.563;1.317.847;1.325.385;1.347.150;1.349.467;1.346.293;
03 Asturias, Principado de;1.011.792;1.018.784;1.022.800;1.028.244;1.034.960;1.042.608;1.051.229;1.061.756;1.068.165;1.077.360;1.081.487;
04 Balears, Illes;1.173.008;1.171.543;1.149.460;1.128.908;1.115.999;1.107.220;1.104.479;1.103.442;1.111.674;1.119.439;1.113.114;
05 Canarias;2.172.944;2.175.952;2.153.389;2.127.685;2.108.121;2.101.924;2.100.306;2.104.815;2.118.679;2.118.344;2.126.769;
06 Cantabria;584.507;582.905;581.078;580.229;580.295;582.206;585.179;588.656;591.888;593.861;593.121;
07 Castilla y León;2.383.139;2.394.918;2.399.548;2.409.164;2.425.801;2.447.519;2.472.052;2.494.790;2.519.875;2.546.078;2.558.463;
08 Castilla - La Mancha;2.049.562;2.045.221;2.032.863;2.026.807;2.031.479;2.041.631;2.059.191;2.078.611;2.100.998;2.121.888;2.115.334;
09 Cataluña;7.763.362;7.780.479;7.675.217;7.600.065;7.555.830;7.522.596;7.508.106;7.518.903;7.553.650;7.570.908;7.539.618;
10 Comunitat Valenciana;5.058.138;5.057.353;5.003.769;4.963.703;4.941.509;4.959.968;4.980.689;5.004.844;5.113.815;5.129.266;5.117.190;
11 Extremadura;1.059.501;1.063.987;1.067.710;1.072.863;1.079.920;1.087.778;1.092.997;1.099.632;1.104.004;1.108.130;1.109.367;
12 Galicia;2.695.645;2.701.819;2.699.499;2.701.743;2.708.339;2.718.525;2.732.347;2.748.695;2.765.940;2.781.498;2.795.422;
13 Madrid, Comunidad de;6.751.251;6.779.888;6.663.394;6.578.079;6.507.184;6.466.996;6.436.996;6.454.440;6.495.551;6.498.560;6.489.680;
14 Murcia, Región de;1.518.486;1.511.251;1.493.898;1.478.509;1.470.273;1.464.847;1.467.288;1.466.818;1.472.049;1.474.449;1.470.069;
15 Navarra, Comunidad Foral de;661.537;661.197;654.214;647.554;643.234;640.647;640.476;640.790;644.477;644.566;642.051;
16 País Vasco;2.213.993;2.220.504;2.207.776;2.199.088;2.194.158;2.189.534;2.189.257;2.188.985;2.191.682;2.193.093;2.184.606;
17 Rioja, La;319.796;319.914;316.798;315.675;315.381;315.794;317.053;319.002;322.027;323.609;322.955;
18 Ceuta;83.517;84.202;84.777;85.144;84.959;84.519;84.263;84.963;84.180;84.018;82.376;
19 Melilla;86.261;87.076;86.487;86.384;86.120;86.026;85.584;84.509;83.679;80.802;78.476;
Notas:
Las cifras de 1996 están referidas a 1 de mayo y  las demás a 1 de enero.
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
