Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Periodo;Total
Total Nacional;;Gasto en I+D interna (miles de euros);2019;15.572.052
Total Nacional;;Gasto en I+D interna (%);2019;100,0
Total Nacional;;Personal en EJC: Total personal;2019;231.413,3
Total Nacional;;Personal en EJC: Mujeres;2019;94.002,5
Total Nacional;;Investigadores en EJC: Total personal;2019;143.973,9
Total Nacional;;Investigadores en EJC: Mujeres;2019;57.380,3
Total Nacional;Andalucía;Gasto en I+D interna (miles de euros);2019;1.538.408
Total Nacional;Andalucía;Gasto en I+D interna (%);2019;9,9
Total Nacional;Andalucía;Personal en EJC: Total personal;2019;24.870,1
Total Nacional;Andalucía;Personal en EJC: Mujeres;2019;10.302,6
Total Nacional;Andalucía;Investigadores en EJC: Total personal;2019;14.522,6
Total Nacional;Andalucía;Investigadores en EJC: Mujeres;2019;5.767,7
Total Nacional;Aragón;Gasto en I+D interna (miles de euros);2019;358.602
Total Nacional;Aragón;Gasto en I+D interna (%);2019;2,3
Total Nacional;Aragón;Personal en EJC: Total personal;2019;6.268,5
Total Nacional;Aragón;Personal en EJC: Mujeres;2019;2.425,6
Total Nacional;Aragón;Investigadores en EJC: Total personal;2019;4.165,3
Total Nacional;Aragón;Investigadores en EJC: Mujeres;2019;1.687,2
Total Nacional;Asturias, Principado de;Gasto en I+D interna (miles de euros);2019;195.601
Total Nacional;Asturias, Principado de;Gasto en I+D interna (%);2019;1,3
Total Nacional;Asturias, Principado de;Personal en EJC: Total personal;2019;3.712,9
Total Nacional;Asturias, Principado de;Personal en EJC: Mujeres;2019;1.434,8
Total Nacional;Asturias, Principado de;Investigadores en EJC: Total personal;2019;2.632,9
Total Nacional;Asturias, Principado de;Investigadores en EJC: Mujeres;2019;1.019,1
Total Nacional;Balears, Illes;Gasto en I+D interna (miles de euros);2019;134.242
Total Nacional;Balears, Illes;Gasto en I+D interna (%);2019;0,9
Total Nacional;Balears, Illes;Personal en EJC: Total personal;2019;2.793,4
Total Nacional;Balears, Illes;Personal en EJC: Mujeres;2019;1.214,9
Total Nacional;Balears, Illes;Investigadores en EJC: Total personal;2019;1.965,7
Total Nacional;Balears, Illes;Investigadores en EJC: Mujeres;2019;914,3
Total Nacional;Canarias;Gasto en I+D interna (miles de euros);2019;219.872
Total Nacional;Canarias;Gasto en I+D interna (%);2019;1,4
Total Nacional;Canarias;Personal en EJC: Total personal;2019;3.572,0
Total Nacional;Canarias;Personal en EJC: Mujeres;2019;1.416,0
Total Nacional;Canarias;Investigadores en EJC: Total personal;2019;2.573,5
Total Nacional;Canarias;Investigadores en EJC: Mujeres;2019;1.008,6
Total Nacional;Cantabria;Gasto en I+D interna (miles de euros);2019;119.008
Total Nacional;Cantabria;Gasto en I+D interna (%);2019;0,8
Total Nacional;Cantabria;Personal en EJC: Total personal;2019;1.878,4
Total Nacional;Cantabria;Personal en EJC: Mujeres;2019;788,8
Total Nacional;Cantabria;Investigadores en EJC: Total personal;2019;1.239,0
Total Nacional;Cantabria;Investigadores en EJC: Mujeres;2019;518,1
Total Nacional;Castilla y León;Gasto en I+D interna (miles de euros);2019;800.924
Total Nacional;Castilla y León;Gasto en I+D interna (%);2019;5,1
Total Nacional;Castilla y León;Personal en EJC: Total personal;2019;10.598,7
Total Nacional;Castilla y León;Personal en EJC: Mujeres;2019;4.514,0
Total Nacional;Castilla y León;Investigadores en EJC: Total personal;2019;6.646,5
Total Nacional;Castilla y León;Investigadores en EJC: Mujeres;2019;2.892,9
Total Nacional;Castilla - La Mancha;Gasto en I+D interna (miles de euros);2019;253.003
Total Nacional;Castilla - La Mancha;Gasto en I+D interna (%);2019;1,6
Total Nacional;Castilla - La Mancha;Personal en EJC: Total personal;2019;3.369,1
Total Nacional;Castilla - La Mancha;Personal en EJC: Mujeres;2019;1.293,4
Total Nacional;Castilla - La Mancha;Investigadores en EJC: Total personal;2019;1.746,4
Total Nacional;Castilla - La Mancha;Investigadores en EJC: Mujeres;2019;682,0
Total Nacional;Cataluña;Gasto en I+D interna (miles de euros);2019;3.596.646
Total Nacional;Cataluña;Gasto en I+D interna (%);2019;23,1
Total Nacional;Cataluña;Personal en EJC: Total personal;2019;52.137,3
Total Nacional;Cataluña;Personal en EJC: Mujeres;2019;21.229,6
Total Nacional;Cataluña;Investigadores en EJC: Total personal;2019;30.331,2
Total Nacional;Cataluña;Investigadores en EJC: Mujeres;2019;11.857,5
Total Nacional;Comunitat Valenciana;Gasto en I+D interna (miles de euros);2019;1.264.029
Total Nacional;Comunitat Valenciana;Gasto en I+D interna (%);2019;8,1
Total Nacional;Comunitat Valenciana;Personal en EJC: Total personal;2019;20.672,5
Total Nacional;Comunitat Valenciana;Personal en EJC: Mujeres;2019;8.431,3
Total Nacional;Comunitat Valenciana;Investigadores en EJC: Total personal;2019;13.047,7
Total Nacional;Comunitat Valenciana;Investigadores en EJC: Mujeres;2019;5.155,2
Total Nacional;Extremadura;Gasto en I+D interna (miles de euros);2019;139.320
Total Nacional;Extremadura;Gasto en I+D interna (%);2019;0,9
Total Nacional;Extremadura;Personal en EJC: Total personal;2019;2.571,4
