Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;Total
Total Nacional;;Gasto en I+D interna (miles de euros);15.768.133
Total Nacional;;Gasto en I+D interna (%);100,0
Total Nacional;;Personal en EJC: Total personal;231.769,1
Total Nacional;;Personal en EJC: Mujeres;94.385,9
Total Nacional;;Investigadores en EJC: Total personal;145.371,5
Total Nacional;;Investigadores en EJC: Mujeres;58.004,0
Total Nacional;01 Andalucía;Gasto en I+D interna (miles de euros);1.627.247
Total Nacional;01 Andalucía;Gasto en I+D interna (%);10,3
Total Nacional;01 Andalucía;Personal en EJC: Total personal;25.907,9
Total Nacional;01 Andalucía;Personal en EJC: Mujeres;10.509,0
Total Nacional;01 Andalucía;Investigadores en EJC: Total personal;15.093,4
Total Nacional;01 Andalucía;Investigadores en EJC: Mujeres;5.946,1
Total Nacional;02 Aragón;Gasto en I+D interna (miles de euros);339.438
Total Nacional;02 Aragón;Gasto en I+D interna (%);2,2
Total Nacional;02 Aragón;Personal en EJC: Total personal;5.973,5
Total Nacional;02 Aragón;Personal en EJC: Mujeres;2.360,2
Total Nacional;02 Aragón;Investigadores en EJC: Total personal;3.969,9
Total Nacional;02 Aragón;Investigadores en EJC: Mujeres;1.654,3
Total Nacional;03 Asturias, Principado de;Gasto en I+D interna (miles de euros);193.658
Total Nacional;03 Asturias, Principado de;Gasto en I+D interna (%);1,2
Total Nacional;03 Asturias, Principado de;Personal en EJC: Total personal;3.374,8
Total Nacional;03 Asturias, Principado de;Personal en EJC: Mujeres;1.285,2
Total Nacional;03 Asturias, Principado de;Investigadores en EJC: Total personal;2.333,0
Total Nacional;03 Asturias, Principado de;Investigadores en EJC: Mujeres;914,1
Total Nacional;04 Balears, Illes;Gasto en I+D interna (miles de euros);137.698
Total Nacional;04 Balears, Illes;Gasto en I+D interna (%);0,9
Total Nacional;04 Balears, Illes;Personal en EJC: Total personal;2.776,6
Total Nacional;04 Balears, Illes;Personal en EJC: Mujeres;1.218,5
Total Nacional;04 Balears, Illes;Investigadores en EJC: Total personal;1.984,3
Total Nacional;04 Balears, Illes;Investigadores en EJC: Mujeres;924,8
Total Nacional;05 Canarias;Gasto en I+D interna (miles de euros);217.808
Total Nacional;05 Canarias;Gasto en I+D interna (%);1,4
Total Nacional;05 Canarias;Personal en EJC: Total personal;3.728,6
Total Nacional;05 Canarias;Personal en EJC: Mujeres;1.510,6
Total Nacional;05 Canarias;Investigadores en EJC: Total personal;2.668,6
Total Nacional;05 Canarias;Investigadores en EJC: Mujeres;1.060,0
Total Nacional;06 Cantabria;Gasto en I+D interna (miles de euros);120.120
Total Nacional;06 Cantabria;Gasto en I+D interna (%);0,8
